Unidades,Nombre,#DescubreElHobby,#IngenioEstratega,#NivelExperto,#CreaConexiones,#EquipoGanador,#DuelosMemorables,#InicioRápido,#GestionaTusRecursos,#DominaElTablero,#ArteEnLaMesa,Peso_BGG,Min_Jugadores,Max_Jugadores,Tiempo_Juego,Rating_BGG,Mecanicas,Categorias,Link_BGG,BGG_ID,Columna 1,Columna 2,Columna 3,Columna 4,Columna 5,Columna 6,Columna 7
1,Golem,No,no,si,no,no,no,no,si,no,no,4.02,2,4,120,7.5,"Action Drafting
Income
Set Collection
Variable Player Powers
Variable Set-up
Worker Placement",,https://boardgamegeek.com/boardgame/298383/golem,298383,,,,,,,
1,Unconscious Mind,no,no,si,no,no,no,no,si,no,si,4,1,4,120,7.9,"Contracts
End Game Bonuses
Layering
Melding and Splaying
Open Drafting
Programmed Movement
Rondel
Set Collection
Solo / Solitaire Game
Tags
Variable Set-up
Worker Placement",,https://boardgamegeek.com/boardgame/329500/unconscious-mind/credits#boardgamemechanic,329500,,,,,,,
1,Evacuation,no,no,si,no,no,no,no,si,no,no,3.97,1,4,150,7.5,"Hand Management
Highest-Lowest Scoring
Income
Pick-up and Deliver
Solo / Solitaire Game",,https://boardgamegeek.com/boardgame/382843/evacuation,382843,,,,,,,
1,alquimistas,no,no,si,no,no,no,no,si,no,no,3.92,2,4,120,7.6,"
Action Drafting
Action Queue
Constrained Bidding
Deduction
End Game Bonuses
Events
Hand Management
Open Drafting
Turn Order: Progressive
Worker Placement",,https://boardgamegeek.com/boardgame/161970/alchemists,161970,,,,,,,
1,Great Western Trail: Argentina,No,no,si,no,no,No,No,si,si,no,3.91,1,4,150,8.5,,,https://boardgamegeek.com/boardgame/364312,364312,,,,,,,
1,Maracaibo,No,no,si,no,no,no,no,si,no,no,3.91,1,4,120,8,"
Contracts
End Game Bonuses
Events
Hand Management
Income
Movement Points
Multi-Use Cards
Narrative Choice / Paragraph
Point to Point Movement
Scenario / Mission / Campaign Game
Set Collection
Solo / Solitaire Game
Stock Holding
Tech Trees / Tech Tracks
Track Movement
Variable Set-up",,https://boardgamegeek.com/boardgame/276025,276025,,,,,,,
1,Darwin's Journey,no,no,si,no,no,no,no,si,no,no,3.9,1,4,120,8.1,"Contracts
Ownership
Pick-up and Deliver
Point to Point Movement
Set Collection
Solo / Solitaire Game
Turn Order: Claim Action
Variable Set-up
Worker Placement
Worker Placement, Different Worker Types",,https://boardgamegeek.com/boardgame/322289/darwins-journey,322289,,,,,,,
1,Skymines,no,no,si,no,no,no,no,SI,no,no,3.9,1,4,150,8,"
Action Queue
Area Majority / Influence
Deck, Bag, and Pool Building
Hand Management
Investment
Open Drafting
Resource to Move
Roles with Asymmetric Information
Scenario / Mission / Campaign Game
Simultaneous Action Selection
Solo / Solitaire Game
Stock Holding
Turn Order: Claim Action
Variable Player Powers
Victory Points as a Resource
Worker Placement",,https://boardgamegeek.com/boardgame/359438/skymines,359438,,,,,,,
1,Brass: Birmingham,No,no,si,no,no,No,No,no,si,no,3.87,2,4,120,8.6,"
Chaining
End Game Bonuses
Hand Management
Income
Loans
Market
Multi-Use Cards
Network and Route Building
Ownership
Tags
Tech Trees / Tech Tracks
Tile Placement
Turn Order: Stat-Based
Variable Set-up",,https://boardgamegeek.com/boardgame/224517,224517,,,,,,,
1,Sabika,no,no,si,no,no,no,no,si,si,si,3.86,1,4,120,7.7,"Events
Rondel
Variable Set-up",,https://boardgamegeek.com/boardgame/360265/sabika,360265,,,,,,,
1,Root,No,Sí,Si,NO,NO,no,No,SI,si,si,3.83,2,4,90,8.1,"Action Points
Action Queue
Action Retrieval
Area Majority / Influence
Area Movement
Dice Rolling
Hand Management
Multi-Use Cards
Negotiation
Point to Point Movement
Race
Sudden Death Ending
Take That
Variable Player Powers
Variable Set-up",,https://boardgamegeek.com/boardgame/237182,237182,,,,,,,
1,Zhanguo: El Primer Imperio,no,no,si,no,no,no,no,si,si,no,3.83,2,4,120,8,"Area Majority / Influence
Hand Management
Solo / Solitaire Game",,https://boardgamegeek.com/boardgame/381819/zhanguo-the-first-empire,381819,,,,,,,
1,Lutier,no,si,si,no,no,no,no,no,no,si,3.8,1,4,140,8.2,"Area Majority / Influence
Auction / Bidding
Dice Rolling
End Game Bonuses
Open Drafting
Solo / Solitaire Game
Turn Order: Claim Action
Variable Phase Order
Variable Player Powers
Worker Placement
Worker Placement, Different Worker Types",,https://boardgamegeek.com/boardgame/371330/luthier,371330,,,,,,,
1,Robinson Crusoe: Adventures on the Cursed Island,No,no,si,no,si,no,No,no,si,si,3.83,1,4,120,7.8,"
Action Queue
Area Movement
Cooperative Game
Dice Rolling
Die Icon Resolution
Events
Hexagon Grid
Map Addition
Movement Points
Narrative Choice / Paragraph
Scenario / Mission / Campaign Game
Solo / Solitaire Game
Tile Placement
Turn Order: Progressive
Variable Player Powers
Worker Placement",,https://boardgamegeek.com/boardgame/121921,121921,,,,,,,
1,Ark Nova,No,NO,Si,NO,NO,NO,No,SI,NO,NO,3.79,1,4,150,8.5,"
Contracts
End Game Bonuses
Events
Grid Coverage
Hand Management
Hexagon Grid
Income
Increase Value of Unchosen Resources
Open Drafting
Race
Set Collection
Solo / Solitaire Game
Tags
Tile Placement
Track Movement
Variable Player Powers
Variable Set-up",,https://boardgamegeek.com/boardgame/342942,342942,,,,,,,
1,Seti,no,no,si,no,no,no,no,no,no,si,3.79,1,4,160,8.4,"
Area Majority / Influence
End Game Bonuses
Income
Multi-Use Cards
Resource to Move
Solo / Solitaire Game
Turn Order: Progressive
Variable Set-up",,https://boardgamegeek.com/boardgame/418059/seti-search-for-extraterrestrial-intelligence,418059,,,,,,,
1,Caverna,no,no,si,no,no,no,no,si,no,no,3.77,1,7,210,7.9,"Automatic Resource Growth
Increase Value of Unchosen Resources
Solo / Solitaire Game
Tile Placement
Turn Order: Claim Action
Worker Placement",,https://boardgamegeek.com/boardgame/102794/caverna-the-cave-farmers,102794,,,,,,,
1,Teotihuacan: City of Gods,No,Sí,si,no,no,No,No,si,si,no,3.77,1,4,120,7.8,"
Area Movement
End Game Bonuses
Events
Grid Coverage
Layering
Ownership
Rondel
Score-and-Reset Game
Set Collection
Solo / Solitaire Game
Square Grid
Tile Placement
Track Movement
Variable Set-up
Victory Points as a Resource
Worker Placement with Dice Workers",,https://boardgamegeek.com/boardgame/229853/teotihuacan-city-of-gods/credits#boardgamemechanic,229853,,,,,,,
1,Bitoku,no,no,si,no,no,no,no,si,si,si,3.76,1,4,120,7.8,"
Area Majority / Influence
Deck, Bag, and Pool Building
End Game Bonuses
Hand Management
Income
Set Collection
Solo / Solitaire Game
Turn Order: Claim Action
Worker Placement with Dice Workers",,https://boardgamegeek.com/boardgame/323612/bitoku,323612,,,,,,,
1,Alma Mater,No,Sí,no,NO,NO,NO,NO,si,si,si,3.75,2,4,150,7.3,"Closed Drafting
End Game Bonuses
Hand Management
Tile Placement
Worker Placement",,https://boardgamegeek.com/boardgame/295777,295777,,,,,,,
1,Praga Caput Regni,No,Sí,si,no,no,No,No,si,no,si,3.73,1,4,150,7.9,,,https://boardgamegeek.com/boardgame/308765,308765,,,,,,,
1,Paladins of the West Kingdom,No,no,si,no,no,No,No,si,no,no,3.71,1,4,120,8,"End Game Bonuses
Market
Open Drafting
Solo / Solitaire Game
Worker Placement
Worker Placement, Different Worker Types",,https://boardgamegeek.com/boardgame/266810,266810,,,,,,,
1,Aqua Sphere,no,no,si,no,no,no,no,no,si,no,3.67,2,4,100,7.3,"
Area Majority / Influence
Area Movement
End Game Bonuses
Income
Modular Board
Once-Per-Game Abilities
Open Drafting
Tech Trees / Tech Tracks
Tile Placement
Turn Order: Pass Order
Variable Set-up",,https://boardgamegeek.com/boardgame/159508/aquasphere,159508,,,,,,,
1,Tzolk'in: El Calendario Maya,No,no,si,no,no,No,No,si,si,si,3.66,2,4,90,7.8,"Bias
End Game Bonuses
Track Movement
Turn Order: Claim Action
Worker Placement",,https://boardgamegeek.com/boardgame/126163,126163,,,,,,,
1,Trajan,no,no,si,no,no,no,no,si,si,si,3.63,2,4,120,7.7,"Area Movement
Hand Management
Mancala
Open Drafting
Set Collection",,https://boardgamegeek.com/boardgame/102680/trajan,102680,,,,,,,
1,Bonfire,No,no,si,no,no,No,No,si,no,no,3.62,1,4,100,7.6,"
Contracts
Market
Pattern Building
Point to Point Movement
Set Collection
Solo / Solitaire Game
Tile Placement",,https://boardgamegeek.com/boardgame/304420/bonfire,304420,,,,,,,
1,Inferno,no,no,si,no,no,no,no,no,no,ai,3.57,1,4,120,7.9,"End Game Bonuses
Grid Movement
Loans
Market
Matching
Movement Points
Multi-Use Cards
Resource Queue
Variable Set-up
Worker Placement
Worker Placement, Different Worker Types",,https://boardgamegeek.com/boardgame/393165/inferno,393165,,,,,,,
1,Vizcondes del reino del oeste,No,Sí,no,no,no,No,No,si,si,no,3.46,1,4,90,7.8,"Area Majority / Influence
Deck, Bag, and Pool Building
End Game Bonuses
Hand Management
King of the Hill
Modular Board
Rondel
Set Collection
Solo / Solitaire Game
Variable Player Powers",,https://boardgamegeek.com/boardgame/296151,296151,,,,,,,
1,Nemesis,No,no,si,no,si,No,No,no,si,si,3.48,1,5,180,8.3,"
Campaign / Battle Card Driven
Cooperative Game
Dice Rolling
Hand Management
Hidden Roles
Interrupts
Modular Board
Player Elimination
Semi-Cooperative Game
Solo / Solitaire Game
Team-Based Game
Traitor Game
Variable Player Powers",,https://boardgamegeek.com/boardgame/167355,167355,,,,,,,
1,Scythe,No,Sí,,no,no,No,No,si,si,si,3.45,1,5,115,8.1,"Area Majority / Influence
Card Play Conflict Resolution
Contracts
End Game Bonuses
Force Commitment
Grid Movement
Hexagon Grid
King of the Hill
Movement Points
Narrative Choice / Paragraph
Solo / Solitaire Game
Take That
Tech Trees / Tech Tracks
Variable Player Powers
Variable Set-up
Victory Points as a Resource
Zone of Control",,https://boardgamegeek.com/boardgame/169786,169786,,,,,,,
1,Merv: The Heart of the Silk Road,No,no,si,no,no,no,No,si,si,si,3.43,1,4,90,7.5,"
Auction: Turn Order Until Pass
Contracts
Modular Board
Ownership
Rondel
Set Collection
Solo / Solitaire Game
Square Grid
Track Movement
Turn Order: Auction
Variable Set-up",,https://boardgamegeek.com/boardgame/306040,306040,,,,,,,
1,Arcs,no,no,si,no,no,no,no,si,si,si,3.42,2,4,120,8,"Area Majority / Influence
Area Movement
Campaign / Battle Card Driven
Dice Rolling
Die Icon Resolution
Hand Management
Negotiation
Resource to Move
Trick-taking
Turn Order: Claim Action
Variable Player Powers",,https://boardgamegeek.com/boardgame/359871/arcs,359871,,,,,,,
1,Marrakesh,no,no,si,no,no,no,no,si,no,no,3.41,2,4,120,8.1,"Cube Tower
End Game Bonuses
Open Drafting
Simultaneous Action Selection",,https://boardgamegeek.com/boardgame/342810/marrakesh,342810,,,,,,,
1,Tiletum,no,si,no,no,no,no,no,si,si,si,3.39,1,4,90,7.9,"Action Drafting
Action Points
Contracts
Dice Rolling
End Game Bonuses
Point to Point Movement
Set Collection
Variable Set-up",,https://boardgamegeek.com/boardgame/351913/tiletum,351913,,,,,,,
1,Ratas de Wistar,no,no,si,no,no,no,no,no,no,no,3.39,1,4,90,7.5,"Contracts
Events
Hand Management
Turn Order: Claim Action
Variable Set-up
Worker Placement",,https://boardgamegeek.com/boardgame/387780/rats-of-wistar,387780,,,,,,,
1,Marco Polo 2 ,no,si,no,no,no,no,no,si,si,si,3.37,2,4,120,7.9,"
Contracts
Dice Rolling
Point to Point Movement
Resource to Move
Turn Order: Stat-Based
Variable Player Powers
Worker Placement
Worker Placement with Dice Workers",,,,,,,,,,
1,Agricola 15,No,no,si,NO,NO,NO,NO,SI,NO,NO,3.37,1,4,120,7.8,"
Advantage Token
Automatic Resource Growth
Closed Drafting
Enclosure
Hand Management
Increase Value of Unchosen Resources
Solo / Solitaire Game
Team-Based Game
Turn Order: Claim Action
Variable Player Powers
Variable Set-up
Worker Placement",,https://boardgamegeek.com/boardgame/359999/agricola-15,359999,,,,,,,
1,Barcelona,no,no,si,no,no,no,no,si,si,si,3.37,1,4,90,7.7,"End Game Bonuses
Tile Placement
Worker Placement",,https://boardgamegeek.com/boardgame/383607/barcelona,383607,,,,,,,
1,Terracota Army,no,si,no,no,no,no,no,si,si,si,3.35,1,4,120,7.4,"Area Majority / Influence
Income
Variable Set-up
Worker Placement
Worker Placement, Different Worker Types",,https://boardgamegeek.com/boardgame/350458/terracotta-army,350458,,,,,,,
1,Endless Winter: Paleoamericans,No,Sí,no,no,no,No,No,su,si,si,3.32,1,4,120,7.7,"
Area Majority / Influence
Deck, Bag, and Pool Building
End Game Bonuses
Hand Management
Income
Modular Board
Multi-Use Cards
Set Collection
Solo / Solitaire Game
Tech Trees / Tech Tracks
Turn Order: Auction
Variable Player Powers
Variable Set-up",,https://boardgamegeek.com/boardgame/305096,305096,,,,,,,
1,Sand,no,no,si,no,no,no,no,no,si,no,3.3,1,4,120,6.7,,,https://boardgamegeek.com/boardgame/402669/sand,402669,,,,,,,
1,Lorenzo il Magnifico,No,Sí,no,no,no,no,no,si,no,no,3.29,2,4,120,7.8,"Contracts
Dice Rolling
End Game Bonuses
Open Drafting
Turn Order: Claim Action
Variable Set-up
Worker Placement
Worker Placement with Dice Workers",,https://boardgamegeek.com/boardgame/203993,203993,,,,,,,
1,Altiplano + expa,no,si,no,no,no,no,no,si,no,no,3.29,2,5,120,7.4,"Action Points
Contracts
Deck, Bag, and Pool Building
Modular Board
Open Drafting
Tile Placement
Turn Order: Progressive
Variable Player Powers
Variable Set-up
Worker Placement",,https://boardgamegeek.com/boardgame/234487/altiplano,234487,,,,,,,
1,Ultimate Railroads,no,n,Si,no,no,no,no,no,no,n,3.27,1,4,120,8.4,"End Game Bonuses
Worker Placement",,https://boardgamegeek.com/boardgame/329591/ultimate-railroads,329591,,,,,,,
1,Coming of Age,no,si,no,no,no,no,no,si,no,si,3.27,1,4,80,7.1,Dice Rolling,,https://boardgamegeek.com/boardgame/431837/coming-of-age,431837,,,,,,,
1,Abomination: El heredero de Frankenstein,no,si,no,no,no,no,no,si,no,no,3.26,2,4,180,7.4,"
Dice Rolling
Events
Narrative Choice / Paragraph
Set Collection
Storytelling
Variable Player Powers
Worker Placement
Worker Placement, Different Worker Types",,https://boardgamegeek.com/boardgame/239472/abomination-the-heir-of-frankenstein,239472,,,,,,,
1,Coimbra,No,Sí,no,no,no,no,No,si,no,no,3.25,2,4,90,7.6,"
Action Drafting
Auction / Bidding
Dice Rolling
End Game Bonuses
Income
Open Drafting
Point to Point Movement
Set Collection
Tech Trees / Tech Tracks
Turn Order: Stat-Based
Variable Set-up
Worker Placement with Dice Workers",,https://boardgamegeek.com/boardgame/245638,245638,,,,,,,
1,Ayar: Children of the Sun ,no,si,no,no,no,no,no,no,no,si,3.23,1,4,90,7.9,"
Area Majority / Influence
Highest-Lowest Scoring
Point to Point Movement
Set Collection
Solo / Solitaire Game
Tile Placement
Track Movement
Worker Placement",,https://boardgamegeek.com/boardgame/429438/ayar-children-of-the-sun,429438,,,,,,,
1,Monasterium,No,Sí,no,no,no,No,No,si,si,no,3.23,2,4,120,7.3,"Dice Rolling
Grid Coverage
Open Drafting
Pattern Building
Track Movement
Worker Placement
",,https://boardgamegeek.com/boardgame/317231/monasterium,317231,,,,,,,
1,The White Castle,No,Sí,,no,no,no,no,si,no,no,3.22,1,4,80,8,"
Action Drafting
Area Movement
Dice Rolling
End Game Bonuses
Income
Melding and Splaying
Multi-Use Cards
Open Drafting
Race
Resource Queue
Solo / Solitaire Game
Variable Set-up
Worker Placement
Worker Placement with Dice Workers",,https://boardgamegeek.com/boardgame/371942,371942,,,,,,,
1,Gran Hotel Austria,No,Sí,,no,no,No,No,si,no,no,3.2,1,4,120,8,"
Action Drafting
Contracts
Dice Rolling
End Game Bonuses
Hand Management
Set Collection
Turn Order: Progressive
Variable Set-up",,https://boardgamegeek.com/boardgame/182874/grand-austria-hotel/credits#boardgamemechanic,182874,,,,,,,
1,Lacrimosa,no,si,no,no,no,no,no,no,si,no,3.17,1,4,90,7.6,"Area Majority / Influence
Deck, Bag, and Pool Building
End Game Bonuses
Movement Points
Multi-Use Cards
Open Drafting",,https://boardgamegeek.com/boardgame/348450/lacrimosa,348450,,,,,,,
1,Ierusalem: Anno Domini,no,si,no,no,no,no,no,si,no,si,3.11,1,4,90,7.5,"
Advantage Token
Grid Coverage
Grid Movement
Hand Management
Set Collection
Solo / Solitaire Game
Worker Placement, Different Worker Types",,https://boardgamegeek.com/boardgame/371972/ierusalem-anno-domini,371972,,,,,,,
1,Obsesion,no,si,no,no,no,no,no,no,no,si,3.1,2,4,90,8.1,"Action Retrieval
Deck, Bag, and Pool Building
Hand Management
Open Drafting
Solo / Solitaire Game",,https://boardgamegeek.com/boardgame/231733/obsession,231733,,,,,,,
1,El señor de los anillos: El destino de la Humanidad,no,si,no,no,si,no,no,si,si,si,3.09,1,5,120,8.3,"
Action Points
Cooperative Game
Dice Rolling
Hand Management
Set Collection
Solo / Solitaire Game
Tags
Variable Player Powers",,https://boardgamegeek.com/boardgame/436217/the-lord-of-the-rings-fate-of-the-fellowship/credits#boardgamemechanic,436217,,,,,,,
1,El Valle de los Molinos,no,si,no,no,no,no,no,si,no,si,3.08,1,4,90,7.7,"End Game Bonuses
Market
Multi-Use Cards
Network and Route Building
Rondel
Solo / Solitaire Game
Variable Player Powers
Variable Set-up",,https://boardgamegeek.com/boardgame/403441/windmill-valley,403441,,,,,,,
1,Dune Imperium,no,si,no,no,no,no,no,si,si,no,3.07,1,4,120,8.4,"
Card Play Conflict Resolution
Deck, Bag, and Pool Building
Delayed Purchase
Force Commitment
Increase Value of Unchosen Resources
Multi-Use Cards
Open Drafting
Ownership
Race
Solo / Solitaire Game
Tags
Take That
Turn Order: Progressive
Variable Player Powers
Worker Placement",,https://boardgamegeek.com/boardgame/316554/dune-imperium,316554,,,,,,,
1,IKI,No,Sí,no,no,no,no,No,si,no,no,3.06,2,4,90,7.6,,,https://boardgamegeek.com/boardgame/177478/iki,177478,,,,,,,
1,"Wonderland's War (2022)
",no,si,no,no,no,no,no,si,si,si,3.04,2,5,125,8.1,"Area Majority / Influence
Deck, Bag, and Pool Building
Dice Rolling
Open Drafting
Push Your Luck
Rondel
Variable Player Powers",,https://boardgamegeek.com/boardgame/227935/wonderlands-war,227935,,,,,,,
1,Dinosaur Island,no,no,si,no,no,no,no,si,no,no,3.04,1,4,120,7.5,"Action Points
Dice Rolling
Income
Set Collection
Tile Placement
Worker Placement",,https://boardgamegeek.com/boardgame/221194/dinosaur-island,221194,,,,,,,
1,Alubari: A Nice Cup of Tea,No,Sí,,NO,NO,NO,NO,si,no,si,3.04,1,5,120,7.2,"Contracts
Turn Order: Claim Action
Worker Placement",,https://boardgamegeek.com/boardgame/259616,259616,,,,,,,
1,Manhattan Project: Energy Empire,no,si,si,no,NO,No,No,si,si,no,3.03,1,5,120,7.7,"
Dice Rolling
Die Icon Resolution
End Game Bonuses
Events
Variable Player Powers
Worker Placement
Worker Placement, Different Worker Types",,https://boardgamegeek.com/boardgame/429401/manhattan-project-energy-empire/credits#boardgamemechanic,429401,,,,,,,
1,Galileo Galilei,no,si,no,no,no,no,no,si,no,no,3.01,1,4,100,7.6,"Area Majority / Influence
End Game Bonuses
Rondel
Variable Set-up
",,https://boardgamegeek.com/boardgame/393333/galileo-galilei,393333,,,,,,,
1,Dead of Winter: A Crossroads Game,No,Sí,si,no,si,no,No,si,si,si,3.01,2,5,120,7.5,,,https://boardgamegeek.com/boardgame/150376,150376,,,,,,,
1,Kemet,no,si,no,no,no,no,no,no,si,si,3,2,5,120,7.6,"Action Points
Area Majority / Influence
Area Movement
Card Play Conflict Resolution
Hand Management
Open Drafting
Tech Trees / Tech Tracks",,https://boardgamegeek.com/boardgame/127023/kemet,127023,,,,,,,
1,discordia,no,no,si,no,no,no,no,si,si,no,3,1,4,90,7.5,"Action / Event
Action Drafting
Dice Rolling
Income
Sudden Death Ending",,https://boardgamegeek.com/boardgame/360206/discordia,,,,,,,,
1,Zapotec,no,si,no,no,no,no,no,no,si,si,3,1,4,75,7.2,"Area Majority / Influence
Hand Management
Open Drafting
Simultaneous Action Selection
Solo / Solitaire Game
Turn Order: Stat-Based",,https://boardgamegeek.com/boardgame/322589/zapotec,322589,,,,,,,
1,Concordia,No,Sí,No,no,no,No,No,no,si,no,2.99,2,5,100,8.1,"Action Retrieval
Advantage Token
Auction: Dutch
Deck, Bag, and Pool Building
End Game Bonuses
Hand Management
Hidden Victory Points
Investment
Movement Points
Network and Route Building
Open Drafting
Point to Point Movement
Set Collection
Variable Set-up",,https://boardgamegeek.com/boardgame/124361,124361,,,,,,,
1,Brazil Imperial,no,si,no,no,no,no,no,si,si,si,2.99,1,4,100,7.5,"
Card Play Conflict Resolution
Contracts
Grid Movement
Hexagon Grid
Modular Board
Once-Per-Game Abilities
Open Drafting
Solo / Solitaire Game
Tile Placement
Variable Player Powers",,https://boardgamegeek.com/boardgame/249277/brazil-imperial,249277,,,,,,,
1,Hansa Teutonica,No,Sí,,no,no,No,No,no,si,no,2.97,3,5,90,8.4,,,https://boardgamegeek.com/boardgame/43015,286749,,,,,,,
1,Marvel Champions: The Card Game,No,Sí,no,no,si,no,no,no,no,no,2.95,1,4,90,8.1,"Card Play Conflict Resolution
Cooperative Game
Deck Construction
Hand Management
Interrupts
Scenario / Mission / Campaign Game
Solo / Solitaire Game
Turn Order: Progressive
Variable Player Powers
Variable Set-up",,https://boardgamegeek.com/boardgame/285774,285774,,,,,,,
1,Inis,No,Sí,no,no,no,No,No,no,si,si,2.95,2,4,90,7.8,"Action Drafting
Area Majority / Influence
Area Movement
Campaign / Battle Card Driven
Closed Drafting
Hand Management
Hexagon Grid
Interrupts
King of the Hill
Map Addition
Modular Board
Take That
Variable Set-up",,https://boardgamegeek.com/boardgame/155821,155821,,,,,,,
1,Proyecto Arrecife,no,si,no,no,no,no,no,no,si,si,2.95,2,4,90,7.5,"Area Majority / Influence
Connections
End Game Bonuses
Point to Point Movement
Set Collection
Solo / Solitaire Game
Variable Player Powers
Variable Set-up",,https://boardgamegeek.com/boardgame/419199/reef-project,419199,,,,,,,
1,El Grande,No,Sí,no,no,no,no,No,no,si,no,2.94,2,5,120,7.8,"
Action Drafting
Area Majority / Influence
Auction / Bidding
Hand Management
Open Drafting
Selection Order Bid
Simultaneous Action Selection
Take That
Turn Order: Auction",,https://boardgamegeek.com/boardgame/93,93,,,,,,,
1,Las Ruinas Perdias de Arnak,No,Sí,no,no,no,no,no,si,si,no,2.93,1,4,120,8.1,"
Area Movement
Contracts
Deck, Bag, and Pool Building
Delayed Purchase
End Game Bonuses
Hand Management
Multi-Use Cards
Once-Per-Game Abilities
Open Drafting
Resource to Move
Solo / Solitaire Game
Track Movement
Turn Order: Progressive
Worker Placement",,https://boardgamegeek.com/boardgame/312484,312484,,,,,,,
1,Earth,No,Sí,no,no,no,No,No,si,no,si,2.91,1,5,90,7.6,"
Contracts
End Game Bonuses
Follow
Hand Management
Pattern Building
Solo / Solitaire Game
Tags
Team-Based Game
Tile Placement
Variable Set-up
Victory Points as a Resource",,https://boardgamegeek.com/boardgame/350184,350184,,,,,,,
1,ganges,no,si,no,no,no,no,no,si,si,no,2.9,2,4,75,7.7,"

Connections
Dice Rolling
Race
Tile Placement
Track Movement
Worker Placement
Worker Placement with Dice Workers
Connections
Dice Rolling
Race
Tile Placement
Track Movement
Worker Placement
Worker Placement with Dice WorkersConnections
Dice Rolling
Race
Tile Placement
Track Movement
Worker Placement
Worker Placement with Dice Workers
Connections
Dice Rolling
Race
Tile Placement
Track Movement
Worker Placement
Worker Placement with Dice Workers",,https://boardgamegeek.com/boardgame/220877/rajas-of-the-ganges/credits#boardgamemechanic,,,,,,,,
1,Imaginarium,no,si,no,no,no,no,no,no,no,si,2.9,2,5,90,7.1,"Action Drafting
Contracts
Set Collection
Take That
Variable Phase Order",,https://boardgamegeek.com/boardgame/218804/imaginarium,218804,,,,,,,
